Track,Album Name,Artist,Release Date,Spotify Streams,Track Length
Barely Holdin' On,Barely Holdin' On,Polo G,8/18/2023,"4,92,46,411",17
Lihim,Lihim,Arthur Miguel,7/28/2023,"6,84,11,628",5
Shake It Off (Taylor's Version),1989 (Taylor's Version),Taylor Swift,10/26/2023,"11,87,07,702",31
DICE AND ROLL,DICE AND ROLL,Odetari,3/20/2024,"3,43,91,822",13
Clara Bow,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"8,35,18,075",9
Witchy (feat. Childish Gambino),TIMELESS,KAYTRANADA,6/7/2024,"36,63,303",31
Quiï¿½ï¿½reme Mientras Se P,Quiï¿½ï¿½reme Mientras Se P,Manuel Turizo,5/1/2020,"46,76,70,966",27
About Damn Time,Special,Lizzo,7/15/2022,"84,67,72,236",15
0800 HEAVEN,0800 HEAVEN - Single,Nathan Dawe,6/9/2023,"6,81,89,858",11
Elegï¿½ï¿½ (feat. Dï¿½ï¿½me,Elegï¿½ï¿½ (feat. Dï¿½ï¿½me,Rauw Alejandro,3/26/2020,"43,90,49,524",27
Hallelujah,A Pentatonix Christmas,Pentatonix,10/21/2016,"44,19,16,342",10
You can't control my heart,Missing,Kurochuu,6/9/2024,"2,40,71,511",26
March Madness,56 Nights,Future,3/21/2015,"16,95,74,765",13
Never Gonna Not Dance Again,Never Gonna Not Dance Again - Single,P!nk,11/3/2022,"16,20,54,666",27
Que Calor (with J Balvin & El Alfa),Major Lazer Essentials,Major Lazer,10/19/2018,"43,36,64,050",35
Make No Sense,AI YoungBoy 2,YoungBoy Never Broke Again,10/11/2019,"40,46,92,736",13
STARGAZING,ASTROWORLD,Travis Scott,8/3/2018,"74,04,09,304",10
WTFYM,WE DON'T TRUST YOU,Future,3/22/2024,"1,71,92,758",5
All My Life,All My Life,Falling In Reverse,6/6/2024,"40,94,651",11
Munch (Feelinï¿½ï¿½,Munch (Feelinï¿½ï¿½ï¿½ U) - ,Ice Spice,8/10/2022,"13,34,59,011",19
If You Want Love,Perception,NF,10/6/2017,"49,36,99,616",16
Humpty Dumpty,Fusion In The City,Lo Greco Bros,7/22/2022,,13
Revenge,17,XXXTENTACION,8/25/2017,"1,35,69,69,354",7
Savage Love,The Bboy Hoppers Dance Videos,Jason Derulo,5/5/2020,"3,369",11
White Iverson,White Iverson,Post Malone,6/13/2013,"1,13,52,09,969",13
Hola - Remix,Hola (Remix),Dalex,11/1/2019,"70,86,15,717",12
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,"8,16,62,552",13
Say Something (feat. Chris Stapleton),Say Something,Justin Timberlake,1/25/2018,"50,57,48,520",37
Hoa Cï¿½ï¿½ï,Hoa Cï¿½ï¿½ï,Phong Max,4/25/2023,"41,68,391",12
I Know,I Know,Kanii,3/10/2023,"4,99,39,720",6
lost souls,The Melodic Blue,Baby Keem,9/22/2021,"20,64,32,478",10
Don't You Know,Don't You Know,Crosby St. Models,8/12/2022,,14
Hold Me Closer,Diamonds (Deluxe),Elton John,11/10/2017,"40,04,79,389",14
Se Joga no Passinho,Se Joga no Passinho,Brisa Star,6/18/2021,"11,01,01,642",19
Girls,Girls - The 2nd Mini Album,aespa,7/8/2022,"11,54,06,939",5
Classic,MKTO,MKTO,1/1/2012,"1,35,04,28,257",7
The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette) - Single,ODESZA,2/8/2022,"12,29,57,173",39
The Weekend,Ctrl,SZA,6/9/2017,"53,75,23,729",11
Overloading (OVERDOSE),"Overdose (feat. LADIPOE, Magixx & Boy Spyce) - Single",Mavins,5/13/2022,"5,85,23,865",22
shipping,Follow Your Nature,great area,12/15/2022,"1,30,895",8
Stole the Show,Stole the Show,Kygo,3/23/2015,"96,47,65,127",14
Mood - Remix,Mood (Remix),Zero Two,6/9/2021,"1,02,65,841",12
Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),Ryan Hurd,2/12/2021,"19,89,42,707",37
Kini Ecko Pergi Meninggalkanku,Kini Ecko Pergi Meninggalkanku,Ecko Show,10/6/2022,"34,79,935",30
LOOOVE (feat. Kid Cudi),UTOPIA,Travis Scott,7/28/2023,"7,23,80,469",23
Oddara (feat. Mercedes Salinas),Oddara,Overcast,7/10/2022,,31
10 Freaky Girls (with 21 Savage),NOT ALL HEROES WEAR CAPES,Metro Boomin,11/2/2018,"63,08,63,087",32
Bahagiaku Sederhana,Bahagiaku Sederhana,Jamik Jams,10/21/2021,"2,71,438",19
"Paint It, Black",Forty Licks,The Rolling Stones,7/26/2023,"1,19,67,73,729",15
Beautiful People (Stay High),Beautiful People (Stay High),The Black Keys,1/12/2024,"1,17,42,947",28
UNA CERVEZA,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/2023,"15,98,76,075",11
Down With Me,Down With Me,Lil Tecca,1/4/2024,"6,53,00,464",12
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,10/22/2021,"28,90,13,053",56
Pink Friday Girls,Pink Friday 2,Nicki Minaj,12/8/2023,"6,31,09,089",17
Teresa & Maria,Teresa & Maria,alyona alyona,1/11/2024,"3,13,80,070",14
Conversations,Legends Never Die,Juice WRLD,7/10/2020,"40,77,01,213",13
Rake It Up,Rake It Up,Yo Gotti,6/23/2017,"36,57,89,171",10
De Vuelta Pa' La Vuelta,De Vuelta Pa' La Vuelta,Daddy Yankee,12/10/2020,"16,47,88,147",23
Sunshine,Sunshine,OneRepublic,11/10/2021,"42,66,09,723",8
Walk,Walk/Spin,Kodak Black,9/16/2022,"6,23,23,136",4
9 bis 9,9 bis 9,SIRA,5/5/2023,"10,79,50,388",7
Versace on the Floor,24K Magic,Bruno Mars,11/17/2016,"79,76,48,369",20
Bailando,Bailandome,El Jordan 23,2/10/2022,"13,89,86,512",8
Runaway (U & I) [Dance],"This Is MELON, Vol. 1 (Dance)",MELON,2/24/2023,"1,35,02,324",23
Hasta la Miel Amarga (feat. Grupo Firme),Hasta la Miel Amarga (En Vivo),"Luis Angel ""El Flaco""",5/1/2020,"16,40,07,720",40
Love Me Like This,expï¿½ï¿½rgo ,NMIXX,3/21/2023,"9,64,39,278",17
Buss It,Buss It,Erica Banks,5/15/2020,"14,50,00,664",7
Five Nights at Freddy's,Five Nights at Freddy's (Original Motion Picture Soundtrack),The Newton Brothers,10/27/2023,"1,78,22,349",23
BODYGUARD,COWBOY CARTER,Beyoncï¿,3/29/2024,"5,64,12,921",9
Matte Black,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,7/29/2022,"16,28,89,846",11
Animals,Animals - Single,Martin Garrix,1/1/2013,"41,38,55,724",7
"Akh Lad Jaave (From ""Loveyatri"")","Akh Lad Jaave (From ""Loveyatri"")",Badshah,8/23/2018,"9,76,00,091",32
Uhaw,Uhaw,Dilaw,11/18/2022,"4,28,62,565",4
FRIKI,FRIKI,Feid,12/10/2021,"25,59,73,824",5
GOAT,Goat - Single,Number_i,1/1/2024,"3,48,20,660",4
Bondade de Deus,Bondade de Deus,Isaias Saad,2/21/2022,"9,18,42,323",15
Let The Light In (feat. Father John Misty),Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,3/10/2023,"24,06,86,521",42
NINNIN JACK,DEPARTURE,IMP.,5/29/2024,"2,07,454",11
Love 119,Love 119,RIIZE,1/5/2024,"4,04,15,304",8
Jar of Hearts,jar of hearts,Christina Perri,7/27/2010,"53,48,74,667",13
UP,UP,INNA,10/29/2021,"3,54,40,292",2
Gotta Move On (feat. Bryson Tiller),The Love Album: Off the Grid (Extended),Diddy,9/20/2023,"4,49,31,644",35
Chasing Game,Various Worldwide IV,Nick Hanzo,7/1/2022,,12
LOS APARATOS,LOS APARATOS,El Alfa,8/3/2022,"13,77,20,938",12
ýýQuýý Nos Pasýý?,ýýQuýý Nos Pasýý? - Single,Anuel AA,5/26/2022,"16,19,90,851",17
I Won't Give Up,Chï¿½ï¿½rie Summer ,Jason Mraz,1/1/2012,"85,08,63,163",15
I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane,8/20/2021,"41,69,72,132",19
Tapï¿½ï¿½o Na ,Som No Talo,Raï¿½ï¿½ Saia Ro,1/22/2021,"19,61,59,389",14
Angry,Angry,The Rolling Stones,9/6/2023,"3,11,85,560",5
SWEET / I THOUGHT YOU WANTED TO DANCE,CALL ME IF YOU GET LOST,"Tyler, The Creator",6/25/2021,"26,96,71,235",37
Yes I'm A Mess,Yes I'm A Mess,AJR,9/29/2023,"4,39,40,810",14
Try,NRJ Hit List 2012 Vol 2,P!nk,1/1/2012,"66,29,71,898",3
Saiyaan Ji,Saiyaan Ji,Yo Yo Honey Singh,1/27/2021,"3,97,93,463",10
VVS Switch,VVS Switch,Pressure 9X19,10/10/2023,"4,43,43,451",10
Can I Call You Tonight?,Can I Call You Tonight?,Dayglow,1/26/2018,"59,61,64,214",23
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,7/21/1987,"1,87,93,86,440",19
DISPO,DISPO,KAROL G,8/10/2023,"11,35,67,783",5
Obsessed,Obsessed,Riar Saab,9/29/2022,"16,13,66,691",8
Here We Go (Uh Oh),Here We Go (Uh Oh),Coco Jones,5/3/2024,"34,59,469",18
Madrid City,Madrid City,Ana Mena,9/29/2023,"6,48,60,954",11
Bring It on Home to Me,Soul Essentials : Chill With the Legendary Voices of Soul Music,Sam Cooke,3/28/2024,"29,36,83,495",22
Ropa Cara,Ropa Cara,Camilo,1/18/2021,"18,53,62,995",9
Straightenin,Straightenin,Migos,5/14/2021,"13,56,65,686",12
Percherï¿½,Las Canciones De La Granja De Zenï¿½ï¿½n Vo,El Reino Infantil,11/17/2016,"1,72,38,604",10
Bring Me To Life,Fallen,Evanescence,1/1/2003,"1,12,93,46,989",16
Espectacular,Espectacular - Single,Sky Rompiendo,4/18/2024,"2,92,54,420",12
Me Gusta,Me Gusta,Shakira,1/13/2020,"35,38,15,769",8
Middle,Middle,DJ Snake,10/16/2015,"1,06,80,23,888",6
Ron Artest,Ron Artest,Babyface Ray,2/8/2023,"6,37,25,545",10
El Patito Juan,La Hormiguita Hippie,Biper Y Sus Amigos,10/24/2004,"2,94,22,741",14
Different 'Round Here,Different 'Round Here,Riley Green,5/11/2023,"7,48,06,048",21
Jumpshot,Sunday,Dawin,7/29/2016,"7,13,45,247",8
Mockingbird,Encore (Deluxe),Eminem,11/12/2004,"1,68,09,19,413",11
Drift Night,Drift Night,Alfianie,7/30/2022,"2,18,621",11
Asesina,Asesina,Brytiago,5/1/2018,"36,26,70,547",7
Jennifer's Body,A Great Chaos,Ken Carson,10/13/2023,"5,31,63,000",15
In Da Club,Q-music Top 500 Van Deze Eeuw - 2011,50 Cent,8/26/2011,"1,01,63,724",10
bread & butter,bread & butter - Single,Gunna,6/2/2023,"5,00,98,085",14
ýýýýýýýýýýýý,ýýýýýýýýýýýý,Aimer,12/6/2021,"22,76,96,852",12
Smile (with The Weeknd),Legends Never Die,Juice WRLD,7/10/2020,"46,39,70,393",23
XXL,EL CHAVO,UZI,9/9/2022,"7,06,64,645",3
Yes or No,GOLDEN,Jung Kook,11/3/2023,"16,73,84,917",9
Entrapreneur,Entrapreneur,Central Cee,12/21/2023,"2,78,50,857",12
Show Me How,Show Me How - Single,Men I Trust,2/28/2018,"46,64,62,034",11
Pour It Up,Unapologetic (Edited Version),Rihanna,1/1/2012,"41,76,16,725",10
MONEY AND VIBES,MONEY AND VIBES,Nemzzz,10/19/2023,"3,59,00,099",15
Macarena (Bayside Boys Remix) (Remasterizado),Viva el Verano (Remasterizado 2022),Los Del Rio,6/17/2022,,45
Love Is Gone - Acoustic,Love Is Gone (Acoustic),SLANDER,11/13/2019,"48,66,47,778",23
Yakï¿½ï¿½ï¿½ï,Yakï¿½ï¿½ï¿½ï,Kï¿½ï,11/24/2023,"6,35,63,583",13
Por las Noches (Remix),Por las Noches (Remix) - Single,Peso Pluma,2/27/2023,"12,93,70,457",22
TABU.,TABU.,Yung Yury,3/17/2023,"11,05,33,607",5
Toxic,Toxic,YG,8/12/2022,"3,68,61,625",5
"Hua Main (From ""ANIMAL"")","Hua Main (From ""ANIMAL"")",Raghav Chaitanya,10/11/2023,"9,73,93,603",24
Patadas de Ahogado / LATIN MAFIA - Rework,Patadas de Ahogado / LATIN MAFIA (Rework),HUGEL,3/1/2024,"3,03,77,279",41
Avï¿½ï¿½,Avï¿½ï¿½,Lucky Brown,5/3/2024,"1,25,89,295",8
Solid (feat. Drake),Slime Language 2,Young Stoner Life,4/16/2021,"27,73,93,068",19
Joro,Joro,Wizkid,9/30/2019,"11,78,19,788",4
House Of Lies,House Of Lies,Ikka,5/24/2024,"52,00,791",13
Stop Breathing,Whole Lotta Red,Playboi Carti,12/25/2020,"17,87,50,521",14
The Rapture Pt.III,The Rapture Pt.III - Single,&ME,6/9/2023,"3,46,01,626",18
all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,"64,00,99,263",29
Hate You,GOLDEN,Jung Kook,11/3/2023,"10,46,18,147",8
Spell,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,"98,66,591",5
Chase It (Mmm Da Da Da),Chase It (Mmm Da Da Da),Bebe Rexha,5/17/2024,"69,58,248",23
Mï¿½ï¿½,Mï¿½ï¿½,Nio Garcia,2/22/2019,"7,65,16,847",7
So Fine,So Fine,Realest Cram,7/8/2023,"5,22,65,945",7
My Universe,My Universe - Single,Coldplay,9/24/2021,,11
Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,4/1/2016,"1,10,23,22,992",29
505,Favourite Worst Nightmare,Arctic Monkeys,4/21/2007,"1,66,05,04,577",3
Banco do Carona,Banco do Carona,Mc Don Juan,4/14/2023,"7,10,78,859",15
DISCOTEKA (feat. Locura Mix),DISCOTEKA (feat. Locura Mix),The La Planta,2/16/2023,"8,90,73,254",28
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,"6,58,09,859",15
I Get The Bag (feat. Migos),I Get The Bag (feat. Migos),Gucci Mane,8/17/2017,"55,40,22,596",27
Terre Pyaar Mein,Terre Pyaar Mein,Himesh Reshammiya,8/20/2021,"77,62,464",16
Colors,Colors,Black Pumas,4/16/2019,"21,54,92,373",6
Lifetime,Lifetime,Tobiahs,1/12/2024,"3,34,01,958",8
Numero Uno,Numero Uno,Dan-E-MC,6/15/2022,"1,224",10
What's My Name?,Loud (Japan Version),Rihanna,1/1/2010,"52,04,18,822",15
Flowers,Flowers,Lauren Spencer Smith,4/14/2022,"26,01,83,209",7
Nikle Currant,Nikle Currant,Jassie Gill,10/12/2018,"3,86,30,486",13
Stir Fry,Stir Fry,Migos,12/20/2017,"68,04,31,508",8
"Bitch, Donï¿½ï¿½ï¿½t Kill M","good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,1/1/2012,"72,17,71,477",27
DOLLAZ ON MY HEAD (feat. Young Thug),WUNNA,Gunna,5/22/2020,"39,04,98,074",36
Pollito Amarillito,"Gallina Pintadita, Vol. 1",Gallina Pintadita,9/4/2015,"3,64,65,157",18
7 Summers,7 Summers,Morgan Wallen,8/14/2020,"43,34,29,705",9
Lollipop - Remix,Lollipop (Remix),Darell,2/15/2024,"5,07,61,385",16
Wrong,Wrong,Luh Kel,4/5/2019,"27,96,60,513",5
You're Somebody Else,Nothing Lasts Forever (And It's Fine),flora cash,4/21/2017,"47,30,59,298",20
BOTH,BOTH,Tiï¿½ï¿,8/29/2023,"6,07,76,379",4
River,Endless Summer Vacation,Miley Cyrus,3/10/2023,"13,26,53,623",5
Extssy Model,Mi Vida En Un Cigarro 2,Junior H,2/11/2022,"29,30,17,219",12
Formula,Euphoria (Original Score from the HBO Series),Labrinth,10/4/2019,"83,64,91,531",7
Suzume,ýýýýýýýýý,RADWIMPS,9/30/2022,"15,11,79,942",6
Nada,Error 93,Cazzu,6/3/2019,"20,43,37,911",4
Ashes,Ashes,Stellar,5/3/2020,"28,60,57,865",5
Copa Vacï¿½,Copa Vacï¿½ï¿½a - Si,Shakira,6/29/2023,"14,75,37,573",11
"WHATS POPPIN (feat. DaBaby, Tory Lanez &amp; Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,6/24/2020,"74,22,55,774",63
Heyy,Heyy,Lil Baby,10/10/2022,"6,66,17,153",4
Que Va,Que Va,Alex Sensation,8/4/2017,"39,87,79,586",6
sonnenbank.mp3,sonnenbank.mp3,YAKARY,11/24/2023,"6,11,27,558",14
Rampampam,Rampampam,Minelli,3/18/2021,"12,31,91,456",9
WA DA DA,FIRST IMPACT,Kep1er,1/3/2022,"17,26,57,413",8
Seven Nation Army,Elephant,The White Stripes,1/1/2003,"1,65,78,66,786",17
AHHH HA,AHHH HA,Lil Durk,2/22/2022,"10,44,11,097",7
Do It Like That,Do It Like That,TOMORROW X TOGETHER,7/7/2023,"10,26,43,968",15
Nakhrewali,Nakhrewali,Prashant Nakti,3/4/2024,"67,40,285",10
BEBECITA,BEBECITA,Skolim,5/31/2024,"1,15,283",8
Enjoy Enjaami,Enjoy Enjaami,Dhee,3/5/2021,"4,42,31,951",13
Bezos I,Inside (The Songs),Bo Burnham,6/10/2021,"22,52,56,279",7
Where Have You Been,Talk That Talk (Explicit),Rihanna,1/1/2011,"69,94,39,249",19
Pelle Coat,Pelle Coat,Lil Durk,5/25/2023,"2,58,98,720",10
22,22,JayO,2/22/2023,"8,70,01,628",2
No Love,Still Over It,Summer Walker,11/5/2021,"26,50,40,914",7
Piensan,Piensan,Myke Towers,9/13/2019,"38,70,94,388",7
Feels Like Summer,Summer Pack,Childish Gambino,7/11/2018,"31,59,97,441",17
Fly Away,Fly Away,Tones And I,11/13/2020,"41,95,57,907",8
Don't,Don't,Bryson Tiller,5/20/2015,"1,28,17,04,427",5
Little Do You Know,Little Do You Know,Alex & Sierra,1/1/2014,"73,26,51,478",18
Travesuras,Travesuras,Nicky Jam,1/27/2014,"30,88,11,426",10
Mayor Que Usted,Mayor Que Usted - Single,NATTI NATASHA,6/17/2022,"12,04,04,381",15
Tï¿½ï¿½moignage (L,Tï¿½ï¿½moignage (Live) - Si,Eunice Manyanga,11/28/2022,"7,40,008",18
ALCH SI,Alch Si,Carin Leon,11/30/2023,"12,59,38,742",7
FARDOS,FARDOS,JC Reyes,2/16/2024,"5,25,85,215",6
Martini,Martini,Dei V,4/25/2024,"1,91,04,053",7
Favorite Song - Sped Up,Favorite Song (Versions) - Single,Toosii,2/17/2023,"1,19,23,405",23
Out Of My Hands,WE STILL DON'T TRUST YOU,Future,4/12/2024,"1,94,20,471",15
LOT OF ME,We Love You Tecca 2,Lil Tecca,8/27/2021,"31,80,61,543",9
Someone Like You,538 Hitzone 58,Adele,7/7/2011,,16
Mil Veces,Mil Veces,Anitta,10/20/2023,"5,85,94,676",9
Yaar Ka Sataya Hua Hai (feat. Nawazuddin Siddiqui),Yaar Ka Sataya Hua Hai,B Praak,7/3/2023,"4,53,06,335",50
Members Only (feat. PARTYNEXTDOOR),For All The Dogs,Drake,10/6/2023,"6,41,68,685",34
King's Dead (with Kendrick Lamar & Future),King''s Dead (with Kendrick Lamar & Future),Jay Rock,1/12/2018,"59,71,67,984",42
Aashiq Awaara (feat. Sunidhi Chauhan),ONE (Original Never Ends),Badshah,8/17/2018,"25,74,126",37
Off The Record,Off The Record,IVE,10/6/2023,"5,80,48,453",14
BABY SAID,RUSH!,Mï¿½ï¿½ne,1/20/2023,"16,69,42,258",9
Gangstas,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,"23,48,89,039",8
Too Good,Views,Drake,4/29/2016,"1,05,24,73,730",8
Alone,Alone,Rod Wave,8/9/2022,"6,45,62,541",5
Veggie Dance - Remix,Veggie Dance (Remix) - Single,Gracie's Corner,5/31/2024,"1,73,242",20
One Up,One Up,Central Cee,10/13/2022,"13,07,84,398",6
idfc,Idfc,blackbear,10/26/2014,"70,30,08,289",4
Revisando El Celu,Revisando El Celu,HCTM,8/3/2022,"8,761",17
"Not Ramaiya Vastavaiya (From ""Jawan"")","Not Ramaiya Vastavaiya (From ""Jawan"")",Anirudh Ravichander,8/29/2023,"4,68,79,854",37
"Are You Going to See the Rose in the Vase, or the Dust on the Table","Are You Going to See the Rose in the Vase, or the Dust on the Table",$uicideboy$,4/19/2024,"2,88,70,396",67
Only Girl (In The World),Loud (Japan Version),Rihanna,1/1/2010,"1,08,54,36,198",24
OTW,OTW,Khalid,4/20/2018,"62,32,01,391",3
Who Needs Love,Who Needs Love,Trippie Redd,11/19/2019,"23,80,27,193",14
We Laugh And Clap At The Circus,Crash Recoil,Surgeon,3/17/2023,"37,199",31
Hit Different,Hit Different,SZA,9/4/2020,"25,49,79,267",13
Como En Los Viejos Tiempos,Como En Los Viejos Tiempos - Single,Eden Muï¿½ï,11/20/2023,"3,78,31,332",26
Baby Car,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Bebefinn,10/28/2022,,8
Rubicon Drill,Forever - EP,Laddi Chahal,11/16/2022,"15,25,64,352",13
Un Cigarrillo,Un Cigarrillo,Chencho Corleone,5/4/2023,"11,34,02,349",13
Nhï¿½ï¿½ï¿½ Ngï¿½ï¿½ï¿½ï¿½ï¿½i Hay Nhï¿½ï¿½,Nhï¿½ï¿½ï¿½ Ngï¿½ï¿½ï¿½ï¿½ï¿½i Hay Nhï¿½ï¿½,Chau Dang Khoa,4/30/2021,"30,269",43
Birthday Sex,Jeremih (Edited Version),Jeremih,1/1/2009,"48,14,14,844",12
Paradise,Paradise,Sophie and the Giants,6/16/2023,"3,18,23,450",8
Los Patitos,Grandes Clï¿½ï¿½sicos Infantiles (Vol,El Reino Infantil,4/20/2010,"34,15,634",11
Te Ire A Buscar,Te Ire a Buscar,Santa Fe Klan,6/18/2019,"30,52,31,016",15
DORA,DORA - Single,FARIANA,3/14/2024,"1,13,28,011",4
Better Place (From TROLLS Band Together),Better Place (From TROLLS Band Together),*NSYNC,9/29/2023,"6,90,41,864",40
Spicy Margarita,Spicy Margarita,Jason Derulo,1/25/2024,"3,76,40,497",15
Cry,Cry,Cigarettes After Sex,10/25/2019,"49,97,64,238",3
Tequila,Tequila,Dan + Shay,1/10/2018,"60,19,87,422",7
Energy,Energy,Digga D,3/9/2023,"4,30,78,993",6
Rockstar (2020 Remaster),All The Right Reasons (15th Anniversary Expanded Edition),Nickelback,10/2/2020,"53,76,23,170",24
Amorfoda,Amorfoda,Bad Bunny,2/15/2018,"33,97,421",8
ýýýýýýýýýýýý,ýýýýýýýýýýýý,Omoinotake,1/24/2024,"4,60,82,088",12
Polaroid Love,DIMENSION : ANSWER,ENHYPEN,1/10/2022,"28,34,55,095",13
HONEY (ARE U COMING?),RUSH!,Mï¿½ï¿½ne,1/20/2023,"11,98,53,822",21
What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,1/17/2020,"50,52,95,731",19
Gyal You a Party Animal - Sped Up,Gyal You a Party Animal (Sped Up) - Single,Charly Black,12/16/2022,"3,60,44,532",33
Do It Again,Do It Again,Pia Mia,5/4/2015,"52,04,07,542",11
Di Mochkila,Di Mochkila,Oualid,1/5/2024,"75,06,086",11
Lemon,Lemon,Kenshi Yonezu,3/14/2018,"19,49,55,459",5
Margiela,Margiela,Ezhel,10/26/2023,"6,65,53,836",8
Me and My Brother,Me and My Brother,5ive,7/12/2019,"11,18,94,875",17
How To Love,Tha Carter IV (Deluxe),Lil Wayne,1/1/2011,"30,24,19,750",11
A Tu Manera,A Tu Manera,Junior H,2/16/2024,"6,02,48,282",11
SNEAKERS,CHECKMATE,ITZY,7/15/2022,"9,59,52,617",8
FLECHAZO EN EL CENTRO,TU DUO FAVORITO,YSY A,9/6/2023,"11,66,25,807",21
LET THE WORLD BURN,LET THE WORLD BURN,Chris Grey,3/8/2024,"3,53,84,383",18
Solar Eclipse,Solar Eclipse,YoungBoy Never Broke Again,1/11/2018,"9,90,37,719",13
Before You Go - Guitar Acoustic,Before You Go EP,Lewis Capaldi,1/24/2020,"5,22,23,414",31
ASAP,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,"11,27,30,335",4
No Switch,Colors (Deluxe),YoungBoy Never Broke Again,1/21/2022,"5,38,49,840",9
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,"7,26,34,553",15
Vivencias,Vivencias - Single,Kayz66,6/7/2024,"1,14,95,032",9
Rude Boy (Superbowl Klean),Rude Boy (Superbowl Klean) - Single,DJ San,2/21/2023,"1,21,283",26
Heatin Up (feat. Gunna),My Turn,Lil Baby,2/28/2020,"19,85,73,138",23
Sleazy Flow (with Lil Baby) - Remix,Sleazy Flow (Remix),SleazyWorld Go,5/26/2022,"12,77,42,133",35
Run BTS,Proof,BTS,6/10/2022,"43,93,95,056",7
Never Sleep (feat. Lil Baby),Never Sleep,NAV,7/29/2022,"13,09,02,100",28
Iï¿½ï¿½ï¿½m Ju,Barbie The Album,Ryan Gosling,7/21/2023,"12,62,19,979",14
Sugardaddy,Sugardaddy - Single,Roxy Dekker,4/4/2024,"3,36,77,357",10
Wild Thoughts (feat. Rihanna & Bryson Tiller),"P. Advisory, part 1",DJ Khaled,12/29/2017,,45
In Your Eyes (feat. Alida),In Your Eyes (feat. Alida),Robin Schulz,1/10/2020,"33,54,96,248",26
Save Me (with Lainey Wilson),Save Me (with Lainey Wilson),Jelly Roll,5/11/2023,"9,59,46,720",28
ROLLIN N CONTROLLIN FREESTYLE,Woo Shit,DUSTY LOCANE,8/6/2020,"15,32,13,678",29
GO (feat. Juice WRLD),GO (feat. Juice WRLD),The Kid LAROI,6/12/2020,"48,82,53,341",21
Backyard Boy,BeVerly Hills BoYfRiEnd,Claire Rosinkranz,8/14/2020,"27,12,35,105",12
Bohemian Rhapsody,Absolute Greatest,Queen,11/16/2009,"2,48,69,08,570",17
Back It up and Dump It (Dump Truck),Back It Up and Dump It (Dump Truck),GC Eternal,7/9/2013,"1,00,19,831",35
"Salamin, Salamin",Talaarawan - EP,BINI,3/8/2024,"5,88,23,260",16
Skyfall - Full Length,Skyfall,Adele,10/4/2012,"69,40,94,195",21
Beautiful Girls,Groove So Much !,Sean Kingston,4/3/1998,"17,83,39,925",15
Saawariya,Saawariya,Aastha Gill,10/8/2021,"2,88,05,237",9
Mon amour,Mon amour,Slimane,11/8/2023,"5,39,69,524",9
ýýýýýýýýýýýýýý ýýýýýýýý,ýýýýýýýýýýýýýý ýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýý,1/20/2021,"2,19,70,517",23
ýýýýýýýýýý ýýýýýýýýýýýý (ýýýýýýýýýýýýýý),ýýýýýýýýýý ýýýýýýýýýýýý (ýýýýýýýýýýýýýý),5ï¿½ï¿½ï¿,6/2/2023,"73,75,613",40
Fly high to cloud nine,Fly high to cloud nine,Terry Flow,9/12/2022,"7,52,826",22
Rainfall,Rainfall,Tom Santa,2/18/2022,"16,48,56,432",8
Por el Resto de Tu Vida,Por el Resto de Tu Vida,Christian Nodal,1/27/2023,"19,99,53,495",23
Earth,Earth,Lil Dicky,4/18/2019,"21,11,58,013",5
23 Preguntas,23 Preguntas - Single,Anuel AA,8/23/2021,"15,42,50,706",12
Souk,Souk,Samara,5/6/2024,"14,77,559",4
Mi Gata,Mi Gata - Single,Standly,11/11/2021,"14,17,47,648",7
Chillax,Visionary,Farruko,10/23/2015,"36,62,68,077",7
